id,title,status,priority,created_date,description,assignee,due_date,tags
1,"Fix login page bug","todo",5,"2024-01-15","Users cannot log in with special characters in password","john.doe","2024-01-20","bug,urgent,frontend"
2,"Implement user dashboard","in-progress",4,"2024-01-10","Create personalized dashboard for user metrics","jane.smith","2024-01-25","feature,frontend,ui"
3,"Database performance optimization","todo",3,"2024-01-12","Optimize slow queries in user table","mike.johnson","2024-01-30","performance,backend"
4,"Write API documentation","in-progress",2,"2024-01-08","Document REST API endpoints for v2.0","sarah.wilson","2024-02-05","documentation,api"
5,"Security audit","todo",5,"2024-01-14","Conduct security review of authentication system","alex.brown","2024-01-22","security,audit,critical"
6,"Mobile app testing","done",3,"2024-01-05","Test mobile app on various devices","emma.davis","2024-01-18","testing,mobile,qa"
7,"Update deployment pipeline","todo",4,"2024-01-16","Modernize CI/CD pipeline with new tools","chris.miller","2024-01-28","devops,deployment"
8,"Customer feedback analysis","in-progress",2,"2024-01-09","Analyze Q4 customer feedback survey","lisa.garcia","2024-01-31","analytics,customer"
9,"Fix memory leak in worker process","done",5,"2024-01-07","Resolve memory leak causing server crashes","tom.anderson","2024-01-17","bug,critical,backend"
10,"Design new logo","todo",1,"2024-01-13","Create modern logo for rebrand initiative","sophia.lee","2024-02-10","design,branding"
11,"Implement dark mode","in-progress",3,"2024-01-11","Add dark mode support to web application","david.martin","2024-02-01","feature,ui,accessibility"
12,"Code review automation","done",2,"2024-01-06","Set up automated code review tools","rachel.taylor","2024-01-19","automation,quality"
13,"Load testing","todo",4,"2024-01-17","Perform load testing on new API endpoints","kevin.white","2024-01-26","testing,performance,api"
14,"Backup system upgrade","in-progress",3,"2024-01-14","Upgrade backup system to new infrastructure","nicole.thomas","2024-02-03","infrastructure,backup"
15,"User onboarding flow","todo",4,"2024-01-18","Redesign user onboarding experience","brandon.clark","2024-02-08","ux,frontend,feature"
16,"Database migration","done",5,"2024-01-04","Migrate legacy data to new schema","michelle.lewis","2024-01-16","database,migration,critical"
17,"Email notification system","todo",2,"2024-01-19","Implement email notifications for task updates","ryan.walker","2024-02-12","feature,notifications"
,"Performance monitoring","in-progress",3,"2024-01-13","Set up application performance monitoring","jennifer.hall","2024-01-29","monitoring,devops"
19,"Accessibility improvements","todo",2,"2024-01-20","Improve WCAG compliance across application","daniel.young","2024-02-15","accessibility,compliance"
20,"Bug triage meeting","done",1,"2024-01-12","Weekly bug triage and prioritization meeting","team.lead","2024-01-12","meeting,planning"
21,"Feature flag management","todo",,"2024-01-22","Implement feature flag management system","alex.johnson","2024-02-05","feature,devops"
22, "Code review automation", "todo",,,,,,
23, "User authentication",,,,,,,
